Robot	LC Well	Plate	Well
FX	N16	4	G8
FX	O16	3	H8
FX	P16	4	H8
FX	A17	1	A9
FX	B17	2	A9
FX	C17	1	B9
FX	D17	2	B9
FX	E17	1	C9
FX	F17	2	C9
FX	G17	1	D9
FX	H17	2	D9
FX	I17	1	E9
FX	J17	2	E9
FX	K17	1	F9
FX	L17	2	F9
FX	M17	1	G9
FX	N17	2	G9
FX	O17	1	H9
FX	P17	2	H9
FX	A18	3	A9
FX	B18	4	A9
FX	C18	3	B9
FX	D18	4	B9
FX	E18	3	C9
FX	F18	4	C9
FX	G18	3	D9
FX	H18	4	D9
FX	I18	3	E9
FX	J18	4	E9
FX	K18	3	F9
FX	L18	4	F9
FX	M18	3	G9
FX	N18	4	G9
FX	O18	3	H9
FX	P18	4	H9
FX	A19	1	A10
FX	B19	2	A10
FX	C19	1	B10
FX	D19	2	B10
FX	E19	1	C10
FX	F19	2	C10
FX	G19	1	D10
FX	H19	2	D10
FX	I19	1	E10
FX	J19	2	E10
FX	K19	1	F10
FX	L19	2	F10
FX	M19	1	G10
FX	N19	2	G10
FX	O19	1	H10
FX	P19	2	H10
FX	A20	3	A10
FX	B20	4	A10
FX	C20	3	B10
FX	D20	4	B10
FX	E20	3	C10
FX	F20	4	C10
FX	G20	3	D10
FX	H20	4	D10
FX	I20	3	E10
FX	J20	4	E10
FX	K20	3	F10
FX	L20	4	F10
FX	M20	3	G10
FX	N20	4	G10
FX	O20	3	H10
FX	P20	4	H10
FX	A21	1	A11
FX	B21	2	A11
FX	C21	1	B11
FX	D21	2	B11
FX	E21	1	C11
FX	F21	2	C11
FX	G21	1	D11
FX	H21	2	D11
FX	I21	1	E11
FX	J21	2	E11
FX	K21	1	F11
FX	L21	2	F11
FX	M21	1	G11
FX	N21	2	G11
FX	O21	1	H11
FX	P21	2	H11
FX	A22	3	A11
FX	B22	4	A11
FX	C22	3	B11
FX	D22	4	B11
FX	E22	3	C11
FX	F22	4	C11
FX	G22	3	D11
FX	H22	4	D11
FX	I22	3	E11
FX	J22	4	E11
FX	K22	3	F11
FX	L22	4	F11
FX	M22	3	G11
FX	N22	4	G11
FX	O22	3	H11
FX	P22	4	H11
FX	A23	1	A12
FX	B23	2	A12
FX	C23	1	B12
FX	D23	2	B12
FX	E23	1	C12
FX	F23	2	C12
FX	G23	1	D12
FX	H23	2	D12
FX	I23	1	E12
FX	J23	2	E12
FX	K23	1	F12
FX	L23	2	F12
FX	M23	1	G12
FX	N23	2	G12
FX	O23	1	H12
FX	P23	2	H12
FX	A24	3	A12
FX	B24	4	A12
FX	C24	3	B12
FX	D24	4	B12
FX	E24	3	C12
FX	F24	4	C12
FX	G24	3	D12
FX	H24	4	D12
FX	I24	3	E12
FX	J24	4	E12
FX	K24	3	F12
FX	L24	4	F12
FX	M24	3	G12
FX	N24	4	G12
FX	O24	3	H12
FX	P24	4	H12
